code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
000001,平安银行,银行,深圳,11.25,194.06,194.06,41786.22,0,104.25,808.16,4.16,0.66,14.5,1.09,19910403,1219.44,6.28,15.48,-11.2,0,17.46,431036
000002,万 科Ａ,全国地产,深圳,13.53,97.14,116.18,18061.87,15095.95,119.04,192.53,1.66,1.11,16.84,1.73,19910129,960.49,8.27,5.05,5.62,31.81,8.55,461700
000004,国农科技,互联网,深圳,776.06,0.84,1.65,14.81,4.64,0.02,12,7.27,0.016,8.45,2.86,19910114,0.17,0.1,-50.32,234.17,75.81,4.81,20657
000005,世纪星源,环境保护,深圳,0,10.58,10.59,29.68,15.41,0.3,6.88,0.65,-0.03,1.53,1.82,19901210,-1.76,-0.17,-68.59,-151.63,15.57,-24.12,117171
000006,深振业Ａ,区域地产,深圳,19.56,13.48,13.5,149.68,116.65,0.15,4.84,0.36,0.161,4.98,1.27,19920427,30.85,2.28,26.04,6.89,45.15,18.09,64375
000007,全新好,酒店餐饮,深圳,0,3.09,3.46,4.95,3.45,0.6,1.57,0.45,-0.086,0.52,17.93,19920413,-2.95,-0.85,1.36,-626.16,70.5,-139.89,12643
000008,神州高铁,运输设备,北京,0,26.65,27.81,118.65,59.16,4.04,27.8,1,-0.11,2.57,1.17,19920507,17.54,0.63,-54.34,-541,29.11,-68.57,90675
000009,中国宝安,综合类,深圳,72.64,25.52,25.79,296.39,192.87,44.55,4.37,0.17,0.052,2.2,3.46,19910625,23.12,0.9,-32.51,-2.02,34.82,3.4,189090
000010,美丽生态,建筑工程,深圳,193.41,5.22,8.2,45.41,38.31,0.42,14.78,1.8,0.011,0.56,7.45,19951027,-18.49,-2.25,17.02,-13.83,19.89,1.59,27940
000011,深物业A,区域地产,深圳,26.08,5.26,5.96,109.49,96.33,0.89,0.8,0.14,0.356,5.28,3.51,19920330,24.55,4.12,33.37,35.94,56.96,14.92,42099
000012,南 玻Ａ,玻璃,深圳,21.92,19.57,30.71,193.64,58.98,84.82,5.97,0.19,0.127,3.15,1.77,19920228,50.39,1.64,-9.49,3.74,28.58,8.85,144946
000014,沙河股份,全国地产,深圳,47.66,2.02,2.02,19.68,18.45,0.14,0.1,0.05,0.116,4.52,2.44,19920602,4.7,2.33,154.9,712.24,42.73,11.11,21069
000016,深康佳Ａ,家用电器,深圳,86.32,15.97,24.08,435.09,255.17,26.05,2.3,0.1,0.039,3.34,2.03,19920327,42.14,1.75,-32.69,-73.15,7.16,0.54,143175
000019,深粮控股,其他商业,深圳,24.83,4.16,11.53,70.29,42.16,10.82,14.23,1.23,0.183,3.82,2.38,19921012,14.75,1.28,-0.87,3.73,10.99,4.45,64407
000020,深华发Ａ,元器件,深圳,586.36,1.81,2.83,6.11,3.16,1.97,1.47,0.52,0.011,1.17,11.16,19920428,-1.75,-0.62,-11.35,22.67,12.22,1.05,24154
000021,深科技,IT设备,深圳,82.78,14.69,14.71,206.47,135.35,31.79,7.75,0.53,0.13,4.78,4.52,19940202,33.85,2.3,7.51,26.77,12.37,2.76,122509
000023,深天地Ａ,其他建材,深圳,0,1.39,1.39,24.77,21.03,1.61,1.03,0.74,-0.101,3.3,5.1,19930429,1.66,1.2,-27.1,-144.96,8.89,-2.31,10853
